product,period,forecast_type,adopted,method,value
EC Pills,2023-07-01,Main,Demographic,Actual Consumption,6531
EC Pills,2023-07-01,Main,Demographic,Service Excel,4224
EC Pills,2023-07-01,Main,Demographic,Service AI,5353
EC Pills,2023-07-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-07-01,Main,Demographic,Consumption AI,4041
EC Pills,2023-07-01,Main,Demographic,Demographic,97281
EC Pills,2023-07-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2023-08-01,Main,Demographic,Actual Consumption,5315
EC Pills,2023-08-01,Main,Demographic,Service Excel,4224
EC Pills,2023-08-01,Main,Demographic,Service AI,5353
EC Pills,2023-08-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-08-01,Main,Demographic,Consumption AI,4006
EC Pills,2023-08-01,Main,Demographic,Demographic,97281
EC Pills,2023-08-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2023-09-01,Main,Demographic,Actual Consumption,5300
EC Pills,2023-09-01,Main,Demographic,Service Excel,4224
EC Pills,2023-09-01,Main,Demographic,Service AI,5353
EC Pills,2023-09-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-09-01,Main,Demographic,Consumption AI,4000
EC Pills,2023-09-01,Main,Demographic,Demographic,97281
EC Pills,2023-09-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2023-10-01,Main,Demographic,Actual Consumption,5526
EC Pills,2023-10-01,Main,Demographic,Service Excel,4224
EC Pills,2023-10-01,Main,Demographic,Service AI,5353
EC Pills,2023-10-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-10-01,Main,Demographic,Consumption AI,4028
EC Pills,2023-10-01,Main,Demographic,Demographic,97281
EC Pills,2023-10-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2023-11-01,Main,Demographic,Actual Consumption,5378
EC Pills,2023-11-01,Main,Demographic,Service Excel,4224
EC Pills,2023-11-01,Main,Demographic,Service AI,5353
EC Pills,2023-11-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-11-01,Main,Demographic,Consumption AI,4049
EC Pills,2023-11-01,Main,Demographic,Demographic,97281
EC Pills,2023-11-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2023-12-01,Main,Demographic,Actual Consumption,5821
EC Pills,2023-12-01,Main,Demographic,Service Excel,4224
EC Pills,2023-12-01,Main,Demographic,Service AI,5353
EC Pills,2023-12-01,Main,Demographic,Consumption Excel,3424
EC Pills,2023-12-01,Main,Demographic,Consumption AI,4037
EC Pills,2023-12-01,Main,Demographic,Demographic,97281
EC Pills,2023-12-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-01-01,Main,Demographic,Actual Consumption,6002
EC Pills,2024-01-01,Main,Demographic,Service Excel,4224
EC Pills,2024-01-01,Main,Demographic,Service AI,5353
EC Pills,2024-01-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-01-01,Main,Demographic,Consumption AI,3982
EC Pills,2024-01-01,Main,Demographic,Demographic,97281
EC Pills,2024-01-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-02-01,Main,Demographic,Actual Consumption,5987
EC Pills,2024-02-01,Main,Demographic,Service Excel,4224
EC Pills,2024-02-01,Main,Demographic,Service AI,5353
EC Pills,2024-02-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-02-01,Main,Demographic,Consumption AI,4004
EC Pills,2024-02-01,Main,Demographic,Demographic,97281
EC Pills,2024-02-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-03-01,Main,Demographic,Actual Consumption,6629
EC Pills,2024-03-01,Main,Demographic,Service Excel,4224
EC Pills,2024-03-01,Main,Demographic,Service AI,5353
EC Pills,2024-03-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-03-01,Main,Demographic,Consumption AI,3967
EC Pills,2024-03-01,Main,Demographic,Demographic,97281
EC Pills,2024-03-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-04-01,Main,Demographic,Actual Consumption,6441
EC Pills,2024-04-01,Main,Demographic,Service Excel,4224
EC Pills,2024-04-01,Main,Demographic,Service AI,5353
EC Pills,2024-04-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-04-01,Main,Demographic,Consumption AI,4013
EC Pills,2024-04-01,Main,Demographic,Demographic,97281
EC Pills,2024-04-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-05-01,Main,Demographic,Actual Consumption,6517
EC Pills,2024-05-01,Main,Demographic,Service Excel,4224
EC Pills,2024-05-01,Main,Demographic,Service AI,5353
EC Pills,2024-05-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-05-01,Main,Demographic,Consumption AI,4013
EC Pills,2024-05-01,Main,Demographic,Demographic,97281
EC Pills,2024-05-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-06-01,Main,Demographic,Actual Consumption,6835
EC Pills,2024-06-01,Main,Demographic,Service Excel,4224
EC Pills,2024-06-01,Main,Demographic,Service AI,5353
EC Pills,2024-06-01,Main,Demographic,Consumption Excel,3424
EC Pills,2024-06-01,Main,Demographic,Consumption AI,3980
EC Pills,2024-06-01,Main,Demographic,Demographic,97281
EC Pills,2024-06-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-07-01,Main,Demographic,Actual Consumption,7719
EC Pills,2024-07-01,Main,Demographic,Service Excel,5635
EC Pills,2024-07-01,Main,Demographic,Service AI,5407
EC Pills,2024-07-01,Main,Demographic,Consumption Excel,4502
EC Pills,2024-07-01,Main,Demographic,Consumption AI,7370
EC Pills,2024-07-01,Main,Demographic,Demographic,3405
EC Pills,2024-07-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-08-01,Main,Demographic,Actual Consumption,7690
EC Pills,2024-08-01,Main,Demographic,Service Excel,5635
EC Pills,2024-08-01,Main,Demographic,Service AI,5407
EC Pills,2024-08-01,Main,Demographic,Consumption Excel,4502
EC Pills,2024-08-01,Main,Demographic,Consumption AI,7370
EC Pills,2024-08-01,Main,Demographic,Demographic,3405
EC Pills,2024-08-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-09-01,Main,Demographic,Actual Consumption,7086
EC Pills,2024-09-01,Main,Demographic,Service Excel,5635
EC Pills,2024-09-01,Main,Demographic,Service AI,5407
EC Pills,2024-09-01,Main,Demographic,Consumption Excel,4502
EC Pills,2024-09-01,Main,Demographic,Consumption AI,7370
EC Pills,2024-09-01,Main,Demographic,Demographic,3405
EC Pills,2024-09-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-10-01,Main,Demographic,Actual Consumption,7822
EC Pills,2024-10-01,Main,Demographic,Service Excel,5635
EC Pills,2024-10-01,Main,Demographic,Service AI,5407
EC Pills,2024-10-01,Main,Demographic,Consumption Excel,4502
EC Pills,2024-10-01,Main,Demographic,Consumption AI,7370
EC Pills,2024-10-01,Main,Demographic,Demographic,3405
EC Pills,2024-10-01,Main,Demographic,Consumption LMIS,NA
EC Pills,2024-11-01,Main,Demographic,Actual Consumption,7025
EC Pills,2024-11-01,Main,Demographic,Service Excel,5635
EC Pills,2024-11-01,Main,Demographic,Service AI,5407
EC Pills,2024-11-01,Main,Demographic,Consumption Excel,4502
